"filename", "language", "Python", "YAML", "toml", "JSON", "pip requirements", "Ini", "Properties", "Markdown", "Docker", "PowerShell", "Batch", "C++", "reStructuredText", "Shell Script", "JavaScript", "Jinja", "C", "comment", "blank", "total"
"d:\final_project\.VSCodeCounter\2024-12-22_08-10-12\details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 2988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2994
"d:\final_project\.VSCodeCounter\2024-12-22_08-10-12\diff-details.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\final_project\.VSCodeCounter\2024-12-22_08-10-12\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"d:\final_project\.VSCodeCounter\2024-12-22_08-10-12\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\final_project\.VSCodeCounter\2024-12-22_08-10-12\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 579
"d:\final_project\.env", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\final_project\.venv\Include\site\python3.12\greenlet\greenlet.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 51, 36, 165
"d:\final_project\.venv\Lib\site-packages\_black_version.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\final_project\.venv\Lib\site-packages\_pytest\__init__.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 14
"d:\final_project\.venv\Lib\site-packages\_pytest\_argcomplete.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 118
"d:\final_project\.venv\Lib\site-packages\_pytest\_code\__init__.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"d:\final_project\.venv\Lib\site-packages\_pytest\_code\code.py", "Python", 1107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 219, 1404
"d:\final_project\.venv\Lib\site-packages\_pytest\_code\source.py", "Python", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 216
"d:\final_project\.venv\Lib\site-packages\_pytest\_io\__init__.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\final_project\.venv\Lib\site-packages\_pytest\_io\pprint.py", "Python", 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 83, 674
"d:\final_project\.venv\Lib\site-packages\_pytest\_io\saferepr.py", "Python", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27, 131
"d:\final_project\.venv\Lib\site-packages\_pytest\_io\terminalwriter.py", "Python", 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 47, 275
"d:\final_project\.venv\Lib\site-packages\_pytest\_io\wcwidth.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 58
"d:\final_project\.venv\Lib\site-packages\_pytest\_py\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\final_project\.venv\Lib\site-packages\_pytest\_py\error.py", "Python", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 112
"d:\final_project\.venv\Lib\site-packages\_pytest\_py\path.py", "Python", 1225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 205, 1476
"d:\final_project\.venv\Lib\site-packages\_pytest\_version.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
