Date : 2024-12-22 08:12:24
Directory : d:\final_project
Total : 2984 files,  759495 codes, 61800 comments, 171248 blanks, all 992543 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |      2,867 |    741,849 |     58,079 |    169,107 |    969,035 |
| C++              |         60 |      7,018 |      3,103 |      1,539 |     11,660 |
| JSON             |          7 |      4,044 |          0 |          5 |      4,049 |
| Markdown         |         11 |      3,881 |          0 |         65 |      3,946 |
| C                |          5 |      1,228 |         89 |        184 |      1,501 |
| toml             |          2 |        511 |          0 |         42 |        553 |
| Shell Script     |          6 |        191 |         47 |         59 |        297 |
| PowerShell       |          2 |        154 |        363 |         48 |        565 |
| reStructuredText |          4 |         99 |          4 |         56 |        159 |
| Batch            |          6 |         97 |          6 |         32 |        135 |
| Ini              |          1 |         93 |          0 |         25 |        118 |
| Properties       |          7 |         93 |         97 |         56 |        246 |
| JavaScript       |          1 |         92 |         12 |          7 |        111 |
| pip requirements |          2 |         71 |          0 |          0 |         71 |
| Jinja            |          1 |         62 |          0 |         23 |         85 |
| YAML             |          1 |          6 |          0 |          0 |          6 |
| Docker           |          1 |          6 |          0 |          0 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |      2,984 |    759,495 |     61,800 |    171,248 |    992,543 |
| . (Files)                                                                                                            |         10 |        715 |          0 |         77 |        792 |
| .VSCodeCounter                                                                                                       |          5 |      3,582 |          0 |         26 |      3,608 |
| .VSCodeCounter\2024-12-22_08-10-12                                                                                   |          5 |      3,582 |          0 |         26 |      3,608 |
| .venv                                                                                                                |      2,937 |    753,753 |     61,663 |    170,814 |    986,230 |
| .venv (Files)                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| .venv\Include                                                                                                        |          1 |         78 |         51 |         36 |        165 |
| .venv\Include\site                                                                                                   |          1 |         78 |         51 |         36 |        165 |
| .venv\Include\site\python3.12                                                                                        |          1 |         78 |         51 |         36 |        165 |
| .venv\Include\site\python3.12\greenlet                                                                               |          1 |         78 |         51 |         36 |        165 |
| .venv\Lib                                                                                                            |      2,932 |    753,522 |     61,251 |    170,725 |    985,498 |
| .venv\Lib\site-packages                                                                                              |      2,932 |    753,522 |     61,251 |    170,725 |    985,498 |
| .venv\Lib\site-packages (Files)                                                                                      |          5 |      3,630 |        308 |        935 |      4,873 |
| .venv\Lib\site-packages\_pytest                                                                                      |         68 |     25,777 |      1,867 |      5,700 |     33,344 |
| .venv\Lib\site-packages\_pytest (Files)                                                                              |         45 |     17,373 |      1,297 |      4,066 |     22,736 |
| .venv\Lib\site-packages\_pytest\_code                                                                                |          3 |      1,292 |         97 |        258 |      1,647 |
| .venv\Lib\site-packages\_pytest\_io                                                                                  |          5 |        915 |         58 |        176 |      1,149 |
| .venv\Lib\site-packages\_pytest\_py                                                                                  |          3 |      1,312 |         48 |        229 |      1,589 |
| .venv\Lib\site-packages\_pytest\assertion                                                                            |          4 |      1,656 |        159 |        311 |      2,126 |
| .venv\Lib\site-packages\_pytest\config                                                                               |          5 |      2,281 |        158 |        415 |      2,854 |
| .venv\Lib\site-packages\_pytest\mark                                                                                 |          3 |        948 |         50 |        245 |      1,243 |
| .venv\Lib\site-packages\alembic                                                                                      |         67 |     22,814 |        703 |      4,825 |     28,342 |
| .venv\Lib\site-packages\alembic (Files)                                                                              |         10 |      2,899 |         33 |        687 |      3,619 |
| .venv\Lib\site-packages\alembic\autogenerate                                                                         |          5 |      2,735 |        100 |        517 |      3,352 |
| .venv\Lib\site-packages\alembic\ddl                                                                                  |          9 |      3,008 |        150 |        558 |      3,716 |
| .venv\Lib\site-packages\alembic\operations                                                                           |          6 |      4,911 |         84 |        978 |      5,973 |
| .venv\Lib\site-packages\alembic\runtime                                                                              |          3 |      1,956 |         62 |        432 |      2,450 |
| .venv\Lib\site-packages\alembic\script                                                                               |          4 |      2,431 |        116 |        434 |      2,981 |
| .venv\Lib\site-packages\alembic\templates                                                                            |          3 |        183 |         50 |         77 |        310 |
| .venv\Lib\site-packages\alembic\templates\async                                                                      |          1 |         51 |         12 |         27 |         90 |
| .venv\Lib\site-packages\alembic\templates\generic                                                                    |          1 |         46 |         12 |         21 |         79 |
| .venv\Lib\site-packages\alembic\templates\multidb                                                                    |          1 |         86 |         26 |         29 |        141 |
| .venv\Lib\site-packages\alembic\testing                                                                              |         19 |      3,579 |         62 |        851 |      4,492 |
| .venv\Lib\site-packages\alembic\testing (Files)                                                                      |          8 |      1,174 |         41 |        379 |      1,594 |
| .venv\Lib\site-packages\alembic\testing\plugin                                                                       |          2 |          3 |          0 |          3 |          6 |
| .venv\Lib\site-packages\alembic\testing\suite                                                                        |          9 |      2,402 |         21 |        469 |      2,892 |
